"Task Aware Debugger for GDB" version 11.4.0 (202107011009)
(c) 2016-2021 NXP Semiconductors, Inc.
13:36:03.771 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
13:36:04.437 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:04.643 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:05.369 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:05.531 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:06.90 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:06.247 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:06.594 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:06.745 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:07.154 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:07.297 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:07.802 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:07.959 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:08.482 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:08.645 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:09.66 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:09.153 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:09.658 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:09.736 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
13:36:11.50 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
13:36:27.549 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, SIGNAL)
13:36:46.74 INFO: [TadModel] DSF session ID 22 has ended.
